0,1,2,3,4,5,6,7,8,9,10,11
178,TBBK,"The Bancorp, Inc.",https://stockanalysis.com/stocks/tbbk/,3.40,11.66,n/a,2004,192.76%,38.98,"137,175",2.09B
179,VAL,Valaris Limited,https://stockanalysis.com/stocks/val/,0.77,89.97,n/a,Anton Dibowitz,192.74%,68.45,"257,445",4.99B
180,KOS,Kosmos Energy Ltd.,https://stockanalysis.com/stocks/kos/,0.16,42.66,n/a,2011,192.17%,6.72,"1,425,070",3.09B
161,GFF,Griffon Corporation,https://stockanalysis.com/stocks/gff/,1.42,43.28,$0.60 (0.98%),1959,191.74%,6.36,"6,019,483",5.15B
182,DMLP,"Dorchester Minerals, L.P.",https://stockanalysis.com/stocks/dmlp/,2.65,12.04,$3.38 (10.58%),2003,190.73%,31.96,"27,976",1.26B
183,RELL,"Richardson Electronics, Ltd.",https://stockanalysis.com/stocks/rell/,1.20,11.28,$0.24 (1.80%),1947,190.00%,13.37,"23,574",190.83M
184,LNG,"Cheniere Energy, Inc.",https://stockanalysis.com/stocks/lng/,50.32,3.39,$1.74 (1.02%),1997,189.76%,170.57,"490,503",40.63B
185,FTI,TechnipFMC plc,https://stockanalysis.com/stocks/fti/,-0.08,n/a,$0.20 (0.99%),Douglas J. Pferdehirt,189.24%,20.20,"1,901,291",8.80B
186,RNGR,"Ranger Energy Services, Inc.",https://stockanalysis.com/stocks/rngr/,1.19,8.59,$0.20 (1.96%),2017,187.92%,10.22,"112,653",249.74M
187,PLAB,"Photronics, Inc.",https://stockanalysis.com/stocks/plab/,2.03,15.52,n/a,1987,186.83%,31.46,"277,288",1.97B
188,UONEK,"Urban One, Inc.",https://stockanalysis.com/stocks/uonek/,0.24,15.58,n/a,1980,185.47%,3.40,"66,545",171.28M
189,IT,"Gartner, Inc.",https://stockanalysis.com/stocks/it/,11.61,38.84,n/a,1993,184.07%,451.53,"124,754",35.20B
190,LRN,"Stride, Inc.",https://stockanalysis.com/stocks/lrn/,3.61,16.45,n/a,2007,182.27%,59.63,"180,707",2.58B
191,ELTK,Eltek Ltd.,https://stockanalysis.com/stocks/eltk/,0.99,14.01,$0.22 (1.58%),1997,181.91%,13.84,"66,313",81.08M
192,ARCB,ArcBest Corporation,https://stockanalysis.com/stocks/arcb/,7.41,16.46,$0.48 (0.40%),1923,181.89%,120.61,"74,788",2.85B
193,ATI,ATI Inc.,https://stockanalysis.com/stocks/ati/,2.06,22.19,n/a,1960,181.85%,45.64,"355,762",5.82B
194,CNQ,Canadian Natural Resources Limited,https://stockanalysis.com/stocks/cnq/,4.88,13.46,$2.94 (4.48%),1976,181.40%,65.59,"877,234",71.00B
195,ERJ,Embraer S.A.,https://stockanalysis.com/stocks/erj/,-1.00,n/a,n/a,2000,180.91%,18.52,"223,365",3.40B
196,VET,Vermilion Energy Inc.,https://stockanalysis.com/stocks/vet/,4.32,2.81,$0.30 (2.50%),1994,180.83%,12.12,"722,936",1.98B
197,IDYA,"IDEAYA Biosciences, Inc.",https://stockanalysis.com/stocks/idya/,-1.99,n/a,n/a,2019,180.36%,36.06,"394,126",2.32B
198,INSW,"International Seaways, Inc.",https://stockanalysis.com/stocks/insw/,12.94,3.48,$6.29 (13.77%),Ms. Lois K. Zabrocky,178.63%,45.63,"248,056",2.23B
199,CVE,Cenovus Energy Inc.,https://stockanalysis.com/stocks/cve/,1.62,10.31,$0.42 (2.50%),2009,177.92%,16.68,"4,059,248",31.63B
200,GASS,StealthGas Inc.,https://stockanalysis.com/stocks/gass/,1.32,4.88,n/a,2005,177.59%,6.53,"77,980",230.22M
181,RIG,Transocean Ltd.,https://stockanalysis.com/stocks/rig/,-1.64,n/a,n/a,1993,177.23%,160.96,"123,596",10.80B
202,GMS,GMS Inc.,https://stockanalysis.com/stocks/gms/,7.40,11.24,n/a,2016,176.49%,83.19,"57,056",3.31B
203,TGS,Transportadora de Gas del Sur S.A.,https://stockanalysis.com/stocks/tgs/,0.27,214.36,n/a,1992,175.28%,15.06,"113,623",2.67B
204,HES,Hess Corporation,https://stockanalysis.com/stocks/hes/,4.77,30.29,$1.75 (1.21%),1920,174.76%,144.46,"1,527,613",44.37B
205,MLI,"Mueller Industries, Inc.",https://stockanalysis.com/stocks/mli/,5.50,8.67,$1.05 (2.22%),1917,173.52%,47.41,"163,358",5.38B
206,PARR,"Par Pacific Holdings, Inc.",https://stockanalysis.com/stocks/parr/,8.58,4.26,n/a,1984,173.47%,36.54,"512,475",2.21B
207,VNOM,Viper Energy Partners LP,https://stockanalysis.com/stocks/vnom/,2.30,13.61,$1.73 (5.51%),2014,172.97%,31.47,"559,212",5.60B
208,HWKN,"Hawkins, Inc.",https://stockanalysis.com/stocks/hwkn/,3.28,21.74,$0.64 (0.90%),1938,172.64%,70.81,"49,531",1.48B
209,SKT,"Tanger Factory Outlet Centers, Inc.",https://stockanalysis.com/stocks/skt/,0.88,31.74,$1.04 (3.73%),1993,172.60%,27.90,"278,999",2.94B
210,MUSA,Murphy USA Inc.,https://stockanalysis.com/stocks/musa/,24.30,14.65,$1.64 (0.46%),1996,171.41%,356.80,"73,388",7.59B
211,OII,"Oceaneering International, Inc.",https://stockanalysis.com/stocks/oii/,0.75,28.44,n/a,1964,171.27%,21.30,"289,347",2.15B
212,VEL,"Velocity Financial, Inc.",https://stockanalysis.com/stocks/vel/,1.26,13.08,n/a,2020,170.98%,16.91,"45,654",553.36M
213,BCC,Boise Cascade Company,https://stockanalysis.com/stocks/bcc/,12.62,10.26,$0.34 (0.26%),2013,169.72%,130.16,"84,852",5.15B
214,USAP,"Universal Stainless & Alloy Products, Inc.",https://stockanalysis.com/stocks/usap/,-0.17,n/a,n/a,1994,169.07%,20.18,"55,236",183.04M
215,CRNX,"Crinetics Pharmaceuticals, Inc.",https://stockanalysis.com/stocks/crnx/,-3.63,n/a,n/a,2018,167.99%,35.69,"315,853",2.38B
216,NSSC,"Napco Security Technologies, Inc.",https://stockanalysis.com/stocks/nssc/,0.93,37.06,$0.32 (0.93%),1969,167.99%,34.49,"178,843",1.27B
217,IDT,IDT Corporation,https://stockanalysis.com/stocks/idt/,1.45,23.24,n/a,1996,167.22%,34.07,"32,743",856.58M
218,TNP,Tsakos Energy Navigation Limited,https://stockanalysis.com/stocks/tnp/,6.01,1.97,$0.99 (4.48%),1993,166.90%,22.19,"227,310",671.29M
219,ARCO,Arcos Dorados Holdings Inc.,https://stockanalysis.com/stocks/arco/,0.86,14.88,$0.16 (1.26%),2011,166.06%,12.68,"277,578",2.67B
220,MCK,McKesson Corporation,https://stockanalysis.com/stocks/mck/,25.33,18.22,$2.48 (0.54%),1833,165.34%,462.37,"250,211",61.54B
201,PAG,"Penske Automotive Group, Inc.",https://stockanalysis.com/stocks/pag/,16.88,9.56,$3.16 (1.97%),1996,165.10%,83.69,"2,635,276",36.06B
222,TFII,TFI International Inc.,https://stockanalysis.com/stocks/tfii/,6.03,22.56,$1.60 (1.17%),"Alain Bedard CMA, F.C.A., FCPA",164.75%,136.41,"92,109",11.72B
223,CRC,California Resources Corporation,https://stockanalysis.com/stocks/crc/,6.25,8.77,$1.24 (2.26%),2014,162.89%,54.79,"126,830",3.76B
224,HHS,"Harte Hanks, Inc.",https://stockanalysis.com/stocks/hhs/,3.06,2.23,n/a,1923,162.69%,6.90,"10,387",51.46M
225,EXTR,"Extreme Networks, Inc.",https://stockanalysis.com/stocks/extr/,0.70,25.39,n/a,1999,162.50%,17.73,"689,218",2.30B
226,VTSI,"VirTra, Inc.",https://stockanalysis.com/stocks/vtsi/,0.64,14.53,n/a,1993,161.70%,9.43,"302,502",105.40M
227,AVGO,Broadcom Inc.,https://stockanalysis.com/stocks/avgo/,32.98,33.92,$21.00 (1.88%),2009,160.68%,"1,116.89","1,261,380",522.82B
228,EGY,"VAALCO Energy, Inc.",https://stockanalysis.com/stocks/egy/,0.31,14.71,$0.25 (5.56%),1985,160.57%,4.50,"343,865",473.22M
229,VRT,Vertiv Holdings Co,https://stockanalysis.com/stocks/vrt/,0.74,65.43,$0.03 (0.05%),Giordano Albertazzi,159.89%,48.22,"1,912,909",18.40B
230,TGH,Textainer Group Holdings Limited,https://stockanalysis.com/stocks/tgh/,4.87,10.09,$1.20 (2.44%),2007,158.96%,49.26,"134,494",2.01B
231,AGM,Federal Agricultural Mortgage Corporation,https://stockanalysis.com/stocks/agm/,15.44,12.43,$4.40 (2.28%),1987,158.39%,192.64,"22,708",2.05B
232,NVT,nVent Electric plc,https://stockanalysis.com/stocks/nvt/,2.81,21.04,$0.76 (1.28%),1903,158.12%,59.27,"658,688",9.84B
233,MAMA,"Mama's Creations, Inc.",https://stockanalysis.com/stocks/mama/,0.19,25.61,n/a,2010,157.98%,4.88,"229,656",182.75M
234,DKS,"DICK'S Sporting Goods, Inc.",https://stockanalysis.com/stocks/dks/,11.22,13.08,$4.00 (2.72%),1948,157.47%,147.00,"618,493",12.02B
235,NXE,NexGen Energy Ltd.,https://stockanalysis.com/stocks/nxe/,-0.21,n/a,n/a,"Leigh Robert Curyer ACA, BA (Acc)",157.33%,7.03,"3,135,898",3.67B
236,PDX,PIMCO Dynamic Income Strategy Fund,https://stockanalysis.com/stocks/pdx/,n/a,n/a,$0.88 (4.30%),NYSE,157.15%,20.49,"125,938",23.82B
237,GLP,Global Partners LP,https://stockanalysis.com/stocks/glp/,3.89,11.08,$2.74 (6.40%),2005,154.38%,42.83,"223,035",1.45B
238,URI,"United Rentals, Inc.",https://stockanalysis.com/stocks/uri/,34.43,16.81,$5.92 (1.03%),1997,153.43%,574.02,"206,609",38.95B
239,CPE,Callon Petroleum Company,https://stockanalysis.com/stocks/cpe/,7.98,4.15,n/a,1988,153.41%,32.51,"892,243",2.20B
240,FN,Fabrinet,https://stockanalysis.com/stocks/fn/,6.75,28.44,n/a,2010,153.40%,190.95,"200,102",6.93B
221,ON,ON Semiconductor Corporation,https://stockanalysis.com/stocks/on/,4.96,16.86,n/a,2000,153.39%,35.92,"2,285,043",11.01B
242,CCRN,"Cross Country Healthcare, Inc.",https://stockanalysis.com/stocks/ccrn/,2.82,8.08,n/a,1986,152.23%,22.80,"93,353",801.79M
243,HLX,"Helix Energy Solutions Group, Inc.",https://stockanalysis.com/stocks/hlx/,0.14,73.39,n/a,1997,151.46%,10.26,"764,367",1.55B
244,SBLK,Star Bulk Carriers Corp.,https://stockanalysis.com/stocks/sblk/,3.16,6.71,$1.57 (7.39%),Petros Alexandros Pappas,151.25%,21.26,"702,733",1.99B
245,SXC,"SunCoke Energy, Inc.",https://stockanalysis.com/stocks/sxc/,0.65,16.65,$0.40 (3.71%),1960,151.16%,10.79,"183,821",903.31M
246,CMC,Commercial Metals Company,https://stockanalysis.com/stocks/cmc/,7.25,6.91,$0.64 (1.27%),1987,150.87%,50.28,"310,292",5.88B
247,ARES,Ares Management Corporation,https://stockanalysis.com/stocks/ares/,2.17,54.95,$3.08 (2.58%),2014,150.23%,119.34,"211,200",22.16B
248,DNN,Denison Mines Corp.,https://stockanalysis.com/stocks/dnn/,0.05,33.48,n/a,1997,150.00%,1.77,"6,990,785",1.57B
249,CRS,Carpenter Technology Corporation,https://stockanalysis.com/stocks/crs/,2.17,32.66,$0.80 (1.12%),1910,149.91%,71.23,"128,406",3.51B
250,FLR,Fluor Corporation,https://stockanalysis.com/stocks/flr/,1.13,34.77,n/a,1912,149.62%,39.33,"508,062",6.69B
251,GLNG,Golar LNG Limited,https://stockanalysis.com/stocks/glng/,7.25,45.24,$1.00 (4.33%),1946,149.03%,23.08,"404,613",2.42B
252,STN,Stantec Inc.,https://stockanalysis.com/stocks/stn/,2.25,35.56,$0.59 (0.74%),1954,148.62%,80.28,"28,924",9.15B
253,EOG,"EOG Resources, Inc.",https://stockanalysis.com/stocks/eog/,13.47,8.99,$3.39 (2.80%),1985,148.43%,121.02,"929,563",70.57B
254,PANW,"Palo Alto Networks, Inc.",https://stockanalysis.com/stocks/panw/,1.77,166.18,n/a,2012,148.33%,294.48,"1,464,790",92.84B
255,PERI,Perion Network Ltd.,https://stockanalysis.com/stocks/peri/,2.35,13.24,n/a,2006,148.16%,30.97,"192,756",1.46B
256,GRIN,Grindrod Shipping Holdings Ltd.,https://stockanalysis.com/stocks/grin/,-0.51,n/a,$2.72 (30.00%),2018,146.75%,9.04,"21,090",177.97M
257,FCNCA,"First Citizens BancShares, Inc.",https://stockanalysis.com/stocks/fcnca/,766.88,1.86,$3.89 (0.27%),1898,146.10%,"1,423.25","37,742",20.66B
258,SAIA,"Saia, Inc.",https://stockanalysis.com/stocks/saia/,12.59,34.87,n/a,2002,145.27%,439.26,"113,425",11.67B
259,GPI,"Group 1 Automotive, Inc.",https://stockanalysis.com/stocks/gpi/,45.68,6.66,$1.80 (0.59%),1997,144.43%,305.95,"30,819",4.23B
260,ATS,ATS Corporation,https://stockanalysis.com/stocks/ats/,1.11,38.87,n/a,2023,144.15%,43.19,"10,842",4.27B
241,APA,APA Corporation,https://stockanalysis.com/stocks/apa/,5.01,7.16,$1.00 (2.79%),1954,143.93%,145.15,"32,541",2.43B
262,AMRK,"A-Mark Precious Metals, Inc.",https://stockanalysis.com/stocks/amrk/,5.56,5.59,$0.78 (2.60%),1965,143.70%,30.09,"105,656",700.11M
263,SLB,Schlumberger Limited,https://stockanalysis.com/stocks/slb/,2.89,17.98,$1.00 (1.92%),1926,143.12%,52.00,"6,280,623",74.27B
264,HAYN,"Haynes International, Inc.",https://stockanalysis.com/stocks/hayn/,3.26,17.54,$0.88 (1.54%),1912,142.73%,57.28,"31,182",731.31M
265,AGO,Assured Guaranty Ltd.,https://stockanalysis.com/stocks/ago/,7.46,10.04,$1.12 (1.50%),2004,142.61%,74.87,"91,579",4.29B
266,ANDE,"The Andersons, Inc.",https://stockanalysis.com/stocks/ande/,1.71,33.64,$0.76 (1.32%),1947,142.61%,57.55,"59,847",1.94B
267,XOM,Exxon Mobil Corporation,https://stockanalysis.com/stocks/xom/,10.07,9.95,$3.80 (3.80%),1870,142.11%,100.00,"11,800,997",399.74B
268,UROY,Uranium Royalty Corp.,https://stockanalysis.com/stocks/uroy/,0.01,356.55,n/a,2017,142.10%,2.70,"494,583",304.39M
269,BIOX,Bioceres Crop Solutions Corp.,https://stockanalysis.com/stocks/biox/,0.21,62.45,n/a,Dr. Federico Trucco Ph.D.,141.65%,13.78,"47,240",866.27M
270,OSG,"Overseas Shipholding Group, Inc.",https://stockanalysis.com/stocks/osg/,0.62,8.45,n/a,1948,141.48%,5.31,"367,553",384.29M
271,LWAY,"Lifeway Foods, Inc.",https://stockanalysis.com/stocks/lway/,0.55,24.50,n/a,1987,140.98%,13.50,"30,974",198.03M
272,IPAR,"Inter Parfums, Inc.",https://stockanalysis.com/stocks/ipar/,4.95,29.20,$2.50 (1.73%),1988,140.16%,144.75,"55,671",4.62B
273,CRVL,CorVel Corporation,https://stockanalysis.com/stocks/crvl/,4.29,58.56,n/a,1991,139.82%,248.39,"16,543",4.24B
274,TECK,Teck Resources Limited,https://stockanalysis.com/stocks/teck/,3.17,13.31,$0.37 (0.88%),Jonathan H. Price M.B.A.,139.74%,42.22,"1,265,931",21.61B
275,SKY,Skyline Champion Corporation,https://stockanalysis.com/stocks/sky/,4.12,18.16,n/a,2010,139.66%,74.60,"83,933",4.30B
276,VTLE,"Vital Energy, Inc.",https://stockanalysis.com/stocks/vtle/,30.63,1.53,n/a,2011,139.20%,45.63,"566,115",1.59B
277,IRM,Iron Mountain Incorporated,https://stockanalysis.com/stocks/irm/,0.95,73.91,$2.60 (3.71%),1996,138.74%,70.12,"483,022",20.48B
278,CERE,"Cerevel Therapeutics Holdings, Inc.",https://stockanalysis.com/stocks/cere/,-2.50,n/a,n/a,2018,138.70%,42.57,"547,992",7.67B
279,EME,"EMCOR Group, Inc.",https://stockanalysis.com/stocks/eme/,11.44,18.90,$0.72 (0.33%),Anthony J. Guzzi,138.21%,216.51,"88,709",10.19B
280,RS,Reliance Steel & Aluminum Co.,https://stockanalysis.com/stocks/rs/,23.85,11.72,$4.00 (1.43%),1994,137.52%,280.36,"74,343",16.11B
261,MYRG,MYR Group Inc.,https://stockanalysis.com/stocks/myrg/,5.45,26.41,n/a,1891,137.08%,76.78,"114,619",4.68B
282,SBR,Sabine Royalty Trust,https://stockanalysis.com/stocks/sbr/,6.17,11.02,$6.38 (9.41%),1982,136.53%,67.87,"52,511",989.72M
283,NSIT,"Insight Enterprises, Inc.",https://stockanalysis.com/stocks/nsit/,7.26,24.29,n/a,1995,136.49%,177.87,"135,503",5.79B
284,PBPB,Potbelly Corporation,https://stockanalysis.com/stocks/pbpb/,0.16,65.25,n/a,2013,136.17%,10.44,"142,101",306.51M
285,BSM,"Black Stone Minerals, L.P.",https://stockanalysis.com/stocks/bsm/,2.03,7.82,$1.90 (11.95%),2015,136.05%,15.90,"545,612",3.34B
286,BRBR,"BellRing Brands, Inc.",https://stockanalysis.com/stocks/brbr/,1.23,45.36,n/a,2019,135.69%,55.58,"268,759",7.29B
287,CBZ,"CBIZ, Inc.",https://stockanalysis.com/stocks/cbz/,2.43,25.77,n/a,1987,135.23%,62.67,"78,349",3.12B
288,PHM,"PulteGroup, Inc.",https://stockanalysis.com/stocks/phm/,12.25,8.42,$0.80 (0.77%),1950,134.63%,103.47,"550,714",22.32B
289,RES,"RPC, Inc.",https://stockanalysis.com/stocks/res/,1.11,6.59,$0.16 (2.20%),1984,134.51%,7.28,"1,164,124",1.57B
290,PDSB,PDS Biotechnology Corporation,https://stockanalysis.com/stocks/pdsb/,-1.71,n/a,n/a,Dr. Frank K. Bedu-Addo Ph.D.,134.17%,5.02,"504,158",156.16M
291,SFM,"Sprouts Farmers Market, Inc.",https://stockanalysis.com/stocks/sfm/,2.44,19.78,n/a,2013,134.10%,48.26,"648,148",4.90B
292,MBIN,Merchants Bancorp,https://stockanalysis.com/stocks/mbin/,5.17,8.26,$0.32 (0.75%),2017,134.10%,42.71,"35,145",1.85B
293,VLO,Valero Energy Corporation,https://stockanalysis.com/stocks/vlo/,29.29,4.44,$4.08 (3.14%),1980,133.69%,129.74,"1,241,177",44.18B
294,DECK,Deckers Outdoor Corporation,https://stockanalysis.com/stocks/deck/,23.18,29.24,n/a,1993,132.77%,669.79,"135,819",17.23B
295,CLH,"Clean Harbors, Inc.",https://stockanalysis.com/stocks/clh/,6.66,26.08,n/a,1987,132.64%,174.23,"303,407",9.42B
296,CPSS,"Consumer Portfolio Services, Inc.",https://stockanalysis.com/stocks/cpss/,2.12,4.41,n/a,1992,130.84%,9.36,"36,719",196.63M
297,TOL,"Toll Brothers, Inc.",https://stockanalysis.com/stocks/tol/,12.36,8.35,$0.84 (0.81%),1967,130.65%,103.33,"551,734",10.76B
298,CLDX,"Celldex Therapeutics, Inc.",https://stockanalysis.com/stocks/cldx/,-2.65,n/a,n/a,2008,130.59%,39.74,"370,720",2.17B
299,PI,"Impinj, Inc.",https://stockanalysis.com/stocks/pi/,-1.06,n/a,n/a,2016,130.51%,90.61,"156,984",2.45B
300,TPL,Texas Pacific Land Corporation,https://stockanalysis.com/stocks/tpl/,50.98,30.87,$13.00 (0.83%),1888,130.47%,"1,577.23","10,849",12.11B
281,FSS,Federal Signal Corporation,https://stockanalysis.com/stocks/fss/,2.39,32.06,$0.40 (0.52%),1901,130.00%,16.59,"507,464",706.36M
302,ADEA,Adeia Inc.,https://stockanalysis.com/stocks/adea/,1.13,10.93,$0.20 (1.61%),1990,129.57%,12.41,"206,054",1.29B
303,FICO,Fair Isaac Corporation,https://stockanalysis.com/stocks/fico/,16.93,69.31,n/a,1987,129.05%,"1,165.80","58,702",28.81B
304,LEU,Centrus Energy Corp.,https://stockanalysis.com/stocks/leu/,3.14,17.44,n/a,1998,129.01%,54.61,"89,659",847.54M
305,REI,"Ring Energy, Inc.",https://stockanalysis.com/stocks/rei/,0.34,4.31,n/a,2004,128.89%,1.47,"3,330,826",286.60M
306,ITCI,"Intra-Cellular Therapies, Inc.",https://stockanalysis.com/stocks/itci/,-1.62,n/a,n/a,Dr. Sharon Mates Ph.D.,128.59%,71.93,"375,801",6.91B
307,KLAC,KLA Corporation,https://stockanalysis.com/stocks/klac/,22.32,26.00,$5.80 (1.00%),1975,128.13%,581.49,"268,112",79.03B
308,WCC,"WESCO International, Inc.",https://stockanalysis.com/stocks/wcc/,15.00,11.68,$1.50 (0.86%),1999,127.95%,174.34,"176,063",8.91B
309,HRI,Herc Holdings Inc.,https://stockanalysis.com/stocks/hri/,12.16,12.28,$2.53 (1.69%),1965,127.11%,149.54,"57,175",4.23B
310,BBCP,"Concrete Pumping Holdings, Inc.",https://stockanalysis.com/stocks/bbcp/,0.52,15.78,n/a,2017,126.98%,8.26,"10,480",449.99M
311,UFPI,"UFP Industries, Inc.",https://stockanalysis.com/stocks/ufpi/,8.52,14.81,$1.20 (0.95%),1993,126.44%,126.23,"65,183",7.80B
312,PCVX,"Vaxcyte, Inc.",https://stockanalysis.com/stocks/pcvx/,-3.33,n/a,n/a,2020,126.42%,63.22,"314,324",6.01B
313,AMKR,"Amkor Technology, Inc.",https://stockanalysis.com/stocks/amkr/,1.64,20.36,$0.32 (0.94%),1998,126.35%,33.42,"354,124",8.21B
314,WINA,Winmark Corporation,https://stockanalysis.com/stocks/wina/,11.25,37.42,$2.30 (0.55%),1993,126.23%,419.37,"17,611",1.47B
315,AVDL,Avadel Pharmaceuticals plc,https://stockanalysis.com/stocks/avdl/,-2.16,n/a,n/a,1996,125.76%,14.19,"360,956",1.34B
316,NOA,North American Construction Group Ltd.,https://stockanalysis.com/stocks/noa/,1.77,11.88,$0.29 (1.41%),2006,125.30%,20.89,"28,086",581.87M
317,AMEH,"Apollo Medical Holdings, Inc.",https://stockanalysis.com/stocks/ameh/,0.90,42.86,n/a,1994,125.06%,38.31,"77,249",2.23B
318,MEDP,"Medpace Holdings, Inc.",https://stockanalysis.com/stocks/medp/,8.52,36.07,n/a,2016,124.76%,306.94,"89,348",9.41B
319,CRESY,Cresud S.A.C.I.F. y A.,https://stockanalysis.com/stocks/cresy/,0.79,6.80,$0.69 (7.33%),1997,124.72%,9.46,"202,999",633.85M
320,NEXT,NextDecade Corporation,https://stockanalysis.com/stocks/next/,-0.77,n/a,n/a,Matthew K. Schatzman,124.43%,4.79,"485,224",1.23B
301,GNK,Genco Shipping & Trading Limited,https://stockanalysis.com/stocks/gnk/,0.25,66.36,$0.60 (3.62%),2005,124.72%,9.46,"207,561",634.52M
322,NEXT,NextDecade Corporation,https://stockanalysis.com/stocks/next/,-0.77,n/a,n/a,Matthew K. Schatzman,124.43%,4.78,"499,858",1.23B
323,AIT,"Applied Industrial Technologies, Inc.",https://stockanalysis.com/stocks/ait/,9.26,18.73,$1.40 (0.81%),1923,123.79%,172.68,"64,463",6.69B
324,ARC,"ARC Document Solutions, Inc.",https://stockanalysis.com/stocks/arc/,0.25,12.80,$0.20 (6.18%),2005,122.70%,3.24,"113,050",138.98M
325,NGL,NGL Energy Partners LP,https://stockanalysis.com/stocks/ngl/,-0.49,n/a,n/a,2011,122.05%,5.56,"496,345",732.85M
326,ET,Energy Transfer LP,https://stockanalysis.com/stocks/et/,1.06,12.97,$1.25 (9.08%),2006,121.53%,13.77,"8,524,002",46.29B
327,GRBK,"Green Brick Partners, Inc.",https://stockanalysis.com/stocks/grbk/,5.76,9.03,n/a,James R. Brickman,121.19%,51.95,"100,098",2.36B
328,OLN,Olin Corporation,https://stockanalysis.com/stocks/oln/,4.61,11.73,$0.80 (1.48%),1892,121.04%,53.95,"561,337",6.61B
329,AN,"AutoNation, Inc.",https://stockanalysis.com/stocks/an/,23.40,6.45,n/a,1991,120.81%,150.16,"144,727",6.39B
330,SKE,Skeena Resources Limited,https://stockanalysis.com/stocks/ske/,-1.11,n/a,n/a,1979,120.71%,4.89,"136,935",434.13M
331,EURN,Euronav NV,https://stockanalysis.com/stocks/eurn/,3.41,5.17,$3.20 (18.17%),Alexander Saverys,120.44%,17.61,"981,953",3.56B
332,OPCH,"Option Care Health, Inc.",https://stockanalysis.com/stocks/opch/,1.41,23.99,n/a,John C. Rademacher,120.34%,33.70,"559,672",5.97B
333,COOP,Mr. Cooper Group Inc.,https://stockanalysis.com/stocks/coop/,6.78,9.61,n/a,Jesse K. Bray,120.25%,65.05,"203,842",4.28B
334,UBS,UBS Group AG,https://stockanalysis.com/stocks/ubs/,2.67,3.27,$0.55 (1.79%),1862,120.20%,30.85,"5,386,760",99.63B
335,DINO,HF Sinclair Corporation,https://stockanalysis.com/stocks/dino/,11.57,4.82,$1.80 (3.24%),1947,120.02%,55.56,"570,782",12.19B
336,CNVS,Cineverse Corp.,https://stockanalysis.com/stocks/cnvs/,-0.14,n/a,n/a,2003,119.61%,1.36,"136,788",12.55M
337,LPLA,LPL Financial Holdings Inc.,https://stockanalysis.com/stocks/lpla/,14.73,15.47,$1.20 (0.53%),2010,118.99%,227.46,"183,174",17.19B
338,CRT,Cross Timbers Royalty Trust,https://stockanalysis.com/stocks/crt/,-0.02,n/a,$1.92 (11.00%),1992,118.84%,17.49,"55,093",105.39M
339,AZO,"AutoZone, Inc.",https://stockanalysis.com/stocks/azo/,137.57,18.64,n/a,1991,118.75%,"2,579.90","72,949",44.60B
340,BZH,"Beazer Homes USA, Inc.",https://stockanalysis.com/stocks/bzh/,5.16,6.61,n/a,1994,118.67%,33.88,"233,612",1.07B
321,CRESY,Cresud S.A.C.I.F. y A.,https://stockanalysis.com/stocks/cresy/,0.79,6.80,$0.69 (7.33%),1997,118.36%,4.55,"1,169,613",1.03B
342,KRYS,"Krystal Biotech, Inc.",https://stockanalysis.com/stocks/krys/,-1.47,n/a,n/a,2017,117.60%,123.83,"166,406",3.50B
343,ENVA,"Enova International, Inc.",https://stockanalysis.com/stocks/enva/,5.90,9.59,n/a,2011,117.58%,55.33,"124,599",1.65B
344,BECN,"Beacon Roofing Supply, Inc.",https://stockanalysis.com/stocks/becn/,-1.04,n/a,n/a,2004,117.54%,87.07,"350,711",5.51B
345,SUN,Sunoco LP,https://stockanalysis.com/stocks/sun/,5.55,11.20,$3.37 (5.62%),Joseph Kim,117.47%,59.96,"302,659",6.04B
346,XPO,"XPO Logistics, Inc.",https://stockanalysis.com/stocks/xpo/,0.31,290.42,n/a,2000,117.39%,87.82,"710,983",10.18B
347,AGYS,"Agilysys, Inc.",https://stockanalysis.com/stocks/agys/,0.47,184.11,n/a,1963,117.26%,84.75,"37,889",2.15B
348,RRR,"Red Rock Resorts, Inc.",https://stockanalysis.com/stocks/rrr/,3.49,15.35,$1.00 (1.88%),2016,117.23%,53.26,"177,480",5.56B
349,TS,Tenaris S.A.,https://stockanalysis.com/stocks/ts/,7.00,5.78,$1.08 (3.11%),2001,117.06%,34.78,"1,053,010",20.52B
350,DHI,"D.R. Horton, Inc.",https://stockanalysis.com/stocks/dhi/,13.82,10.97,$1.20 (0.79%),1992,117.02%,151.82,"808,319",50.58B
351,SSD,"Simpson Manufacturing Co., Inc.",https://stockanalysis.com/stocks/ssd/,8.34,23.82,$1.08 (0.54%),1994,116.03%,198.29,"102,834",8.45B
352,INTT,inTEST Corporation,https://stockanalysis.com/stocks/intt/,1.03,12.87,n/a,1997,114.75%,13.55,"115,836",164.42M
353,CF,"CF Industries Holdings, Inc.",https://stockanalysis.com/stocks/cf/,10.74,7.37,$1.60 (2.01%),2005,114.49%,79.52,"803,846",15.19B
354,THR,"Thermon Group Holdings, Inc.",https://stockanalysis.com/stocks/thr/,1.23,27.30,n/a,2011,114.48%,32.59,"105,235",1.10B
355,LEN.B,Lennar Corporation,https://stockanalysis.com/stocks/len.b/,13.48,9.96,$1.50 (1.12%),1954,113.77%,133.91,"35,152",41.80B
